	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000000420	1074.6	1141.6	-0.103948040412962	4.75922188037064	8.35900916113102	0.00658529476004099	0.0274198733209046
ENSMUSG00000049932	500.6	442.6	0.187970874278063	3.59368665221792	8.35875448628568	0.00658603565393134	0.0274198733209046
ENSMUSG00000105892	196	163	0.275672853573642	2.16516748033923	8.35794630848766	0.00658838737784726	0.0274224516970666
ENSMUSG00000060989	33.6	24.8	0.463952962373462	-0.293437914195202	16.480556129267	0.00659454223875343	0.0274408541265058
ENSMUSG00000030092	525.4	595.4	-0.179195503116605	3.8521025533223	8.35321287180043	0.00660217936396108	0.0274654131805887
ENSMUSG00000028622	1157.2	1097.4	0.084747054261089	4.84546424086586	8.34910892043381	0.00661416228468988	0.0275080333169617
ENSMUSG00000028030	444.6	410.8	0.122443278149709	3.45819539261528	8.34844830557037	0.00661609336158446	0.027508836832288
ENSMUSG00000009630	2195.6	2037.6	0.110755886058684	5.72908788859237	8.34536178866667	0.00662512374027658	0.0275391501273209
ENSMUSG00000021123	39.4	29	0.430172865631146	-0.16972277598215	9.71120073466819	0.00662932272232927	0.0275493697484248
ENSMUSG00000036186	529.4	485	0.138712127149127	3.69035238579199	8.34292789348262	0.00663225404234954	0.027554317384869
ENSMUSG00000038074	138.6	116.8	0.229592292092076	1.79315062604553	8.34010575890414	0.00664053204133985	0.0275814698720463
ENSMUSG00000046470	403.2	322.4	0.316828585064008	3.09387861934651	8.35504536484931	0.00664509751124946	0.0275901291879889
ENSMUSG00000044254	147.8	185.4	-0.303764586563278	1.914225428715	8.33802370309203	0.00664664632206684	0.0275901291879889
ENSMUSG00000027167	270.4	306.6	-0.179928187301994	2.86848846889155	8.33703074647601	0.00664956442204767	0.0275901291879889
ENSMUSG00000003032	266.8	214.2	0.321361842458977	2.80034287249855	8.3421701877093	0.00664958890973389	0.0275901291879889
ENSMUSG00000045318	391.4	321.2	0.283582813471202	3.2383971016429	8.33892650019299	0.00665912033540806	0.0276224360034524
ENSMUSG00000059401	4008.2	3706.4	0.117474425583409	6.65581890390291	8.32448675479511	0.00668654737771135	0.0277289385490681
ENSMUSG00000114230	359.8	421.4	-0.22524026115125	3.33649035404238	8.32060709834447	0.00669803028277367	0.0277692826993254
ENSMUSG00000041895	684.6	752.6	-0.135143064238794	4.19071278078805	8.31627636559822	0.00671087328553541	0.0278076138746959
ENSMUSG00000062300	151.4	181.4	-0.266159842526901	2.00964318172642	8.31583653604972	0.00671217910013491	0.0278076138746959
