	GeneID	Chr	Symbol	NExons	P.Value	FDR
125064	67850	3	1700007F19Rik	6	0.121247049532149	1
68489	320469	15	9930014A18Rik	3	0.12143522304557	1
175296	232966	7	Zfp114	4	0.121674831802869	1
164124	64177	6	Trpv6	15	0.121927007243065	1
204799	244879	9	Npat	18	0.122038639719842	1
96584	114615	18	Elac1	4	0.122089841744711	1
159774	24135	5	Zfp68	6	0.122171634557095	1
193105	234311	8	Ddx60	39	0.122838901968549	1
207056	12442	9	Ccnb2	9	0.123186172304115	1
78705	12856	16	Cox17	3	0.123218131012812	1
22328	628870	10	Otogl	58	0.123511866087989	1
56556	268706	13	Slc38a9	15	0.12371745142004	1
208462	71640	9	Zfp949	6	0.12380516899396	1
38486	83796	11	Smarcd2	13	0.123994659670803	1
102000	226101	19	Myof	53	0.124234851862223	1
15992	14302	10	Frk	8	0.124306121710653	1
190717	11601	8	Angpt2	9	0.124566870807211	1
15940	72580	10	Zufsp	10	0.124719386503174	1
199423	13057	8	Cyba	6	0.124776714512411	1
34951	70393	11	2210416O15Rik	4	0.124827332660279	1
46336	217721	12	Flvcr2	10	0.125127052336937	1
33797	338367	11	Myo1d	22	0.125142537582673	1
123477	81004	3	Tbl1xr1	16	0.125158445396947	1
154650	14020	5	Evi5	18	0.125460624335579	1
93976	67199	18	Pfdn1	4	0.125661926211004	1
198030	11906	8	Zfhx3	10	0.125678330546681	1
